0|Герцог Оленьей горы|3 серия (AniMaunt)|http://seasonvar.ru/serial-30171-Gertcog_Olen_ej_gory.html|||2022-02-14
1|Ходячие мертвецы|9 серия (Hamster)|http://seasonvar.ru/serial-29480-Hodyachie_mertvetcy-11-season.html|8.2|861597|2022-02-14
2|Привет, противник по дебатам|25-26 серия (AniMaunt)|http://seasonvar.ru/serial-28730-Privet_protivnik_po_debatam.html|||2022-02-14
3|Дочь наложницы: история Мин Лань|33-34 серия|http://seasonvar.ru/serial-31810-Doch__nalozhnitcy_istoriya_Min_Lan_.html|8.1|390|2022-02-14
4|Джек Ричер|4 серия (LostFilm)|http://seasonvar.ru/serial-31716-Dzhek_Richer.html|8.4|38467|2022-02-14
5|Выходить замуж или нет|36 серия|http://seasonvar.ru/serial-29757-Vyhodit__zamuzh_ili_net.html|||2022-02-14
6|Йеллоустоун: 1883|8 серия (BaibaKo)|http://seasonvar.ru/serial-31566-Jelloustoun_1883.html|9.1|27035|2022-02-14
7|Бель-Эйр|1-3 серия|http://seasonvar.ru/serial-32047-Bel_-Ejr.html|||2022-02-14
